,,,,,,,,,
,,,,,,,,,
,,,Sustainability Context,,,,Term Source(s),,
,Sustainability Category,,Positive,,Negative,User-dependant,,,
Term,level 0 ,level 1,Certificate,PosLabel,NegLabel,,source1,source2,source3
Carbon Neutral,environment,carbonEmission,1,,,,Amazon Climate Pledge,,
Carbon free,environment,carbonEmission,1,,,,Amazon Climate Pledge,,
Climate neutral,environment,carbonEmission,1,,,,Amazon Climate Pledge,,
Compact by design,environment,carbonEmission,1,,,,Amazon Climate Pledge,,
Reducing CO2,environment,carbonEmission,1,,,,Amazon Climate Pledge,,
Marine Stewartship Certified,environment,animalWelfare ,1,,,,Amazon Climate Pledge,,
Marine Stewartship Certified,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,,
U.S. EPA Safer Choice,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,,
U.S. EPA Safer Choice,health,,1,,,,Amazon Climate Pledge,,
USDA Organic,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,,
USDA Organic,health,,1,,,,Amazon Climate Pledge,,
RECYCLED BLENDED Claim Standard,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,,
RECYCLED BLENDED Claim Standard,economy,,1,,,,Amazon Climate Pledge,,
RECYCLED 100 Claim Standard,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,,
RECYCLED 100 Claim Standard,economy,,1,,,,Amazon Climate Pledge,,
made in Green by Oeko-Tex,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,,
made in Green by Oeko-Tex,economy,,1,,,,Amazon Climate Pledge,,
organic certification,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,Ethical Consumer,
organic certification,health,,1,,,,Amazon Climate Pledge,Ethical Consumer,
certified,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,Ethical Consumer,
certified,society,sustainingCommunitiesEthicalResponsibility,1,,,,Amazon Climate Pledge,Ethical Consumer,
certified,health,,1,,,,Amazon Climate Pledge,Ethical Consumer,
organic,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,Ethical Consumer,
organic,health,,1,,,,Amazon Climate Pledge,Ethical Consumer,
Rainforest Alliance,environment, generalEnvAspect,1,,,,Amazon Climate Pledge,Ethical Consumer,
Rainforest Alliance,society,sustainingCommunitiesEthicalResponsibility,1,,,,Amazon Climate Pledge,Ethical Consumer,
Soil Association,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,Ethical Consumer,
Soil Association,society,sustainingCommunitiesEthicalResponsibility,1,,,,Amazon Climate Pledge,Ethical Consumer,
Soil Association,society,equitableAccess,1,,,,Amazon Climate Pledge,Ethical Consumer,
nut free,health,,,,,1,Amazon Climate Pledge,,
vegetarian,society,equitableAccess,,1,,,Amazon Climate Pledge,Google Ads Keyword planner,
vegetarian,health,,,,,1,Amazon Climate Pledge,,
Gluten free,health,,,,,1,Amazon Climate Pledge,,
Ketogenic,health,,,,,1,Amazon Climate Pledge,,
